time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-11T00:08:48.720Z,13.1988,-87.7188,192.61,4.7,mww,,59,0.821,0.67,us,us2000jg5r,2019-02-13T07:33:30.887Z,12km SW of Amapala  Honduras,earthquake,6.5,4.5,0.08,15,reviewed,us,us
2019-01-31T04:40:30.240Z,13.4636,-88.3658,180.61,5.2,mb,,125,1.214,0.9,us,us2000jb2y,2019-02-01T16:29:17.079Z,4km SSW of Chinameca  El Salvador,earthquake,2.8,7,0.03,373,reviewed,us,us
2019-01-24T16:20:01.930Z,12.9743,-89.0867,79.45,4.6,mb,,138,1.44,0.87,us,us2000j8cp,2019-02-13T22:19:55.659Z,58km S of El Rosario  El Salvador,earthquake,6.5,8.8,0.052,113,reviewed,us,us
2019-01-01T18:17:45.070Z,16.6527,-86.136,10,4.3,mb,,43,2.804,1,us,us2000izny,2019-01-18T22:37:19.651Z,37km NW of Guanaja  Honduras,earthquake,4.1,2,0.073,54,reviewed,us,us
2018-12-07T04:01:29.370Z,13.2613,-89.1663,77.63,4.1,mb,,167,1.146,0.8,us,us1000i3xs,2019-01-03T22:29:47.705Z,30km SE of La Libertad  El Salvador,earthquake,8.5,3.4,0.124,18,reviewed,us,us
2018-11-13T10:26:50.200Z,13.5673,-88.3024,186.11,4.4,mb,,143,0.911,0.67,us,us1000huuu,2019-01-30T18:36:27.040Z,5km ENE of Lolotique  El Salvador,earthquake,12.2,9.8,0.065,68,reviewed,us,us
2018-11-02T09:12:16.020Z,12.9693,-89.3704,35,4.3,mwr,,132,0.725,0.94,us,us2000i5sh,2019-01-21T14:29:43.040Z,57km S of La Libertad  El Salvador,earthquake,6.5,2,0.098,10,reviewed,us,us
2018-10-23T23:38:58.830Z,13.0821,-89.4387,48.47,4.5,mb,,159,0.634,0.9,us,us1000hgcf,2019-01-10T17:18:35.040Z,46km SSW of La Libertad  El Salvador,earthquake,6.6,6.8,0.063,74,reviewed,us,us
2018-09-12T15:35:16.080Z,13.2268,-87.83,10,4.7,mb,,129,0.925,0.89,us,us2000hdfj,2018-11-21T18:19:09.040Z,9km SSE of Conchagua  El Salvador,earthquake,5.8,1.9,0.041,184,reviewed,us,us
2018-09-12T10:12:29.530Z,13.1233,-87.8515,24.56,4.3,mb,,136,0.889,0.83,us,us2000hdd3,2018-11-21T18:19:09.040Z,20km S of Conchagua  El Salvador,earthquake,7.1,9.5,0.049,121,reviewed,us,us
2018-08-15T14:19:36.160Z,13.304,-87.727,175.91,4.7,mb,,147,0.868,0.84,us,us1000g9n5,2018-10-27T16:22:03.040Z,8km W of Amapala  Honduras,earthquake,9.4,6.2,0.138,16,reviewed,us,us
2018-07-28T20:46:22.630Z,13.4384,-88.6606,149.37,4.2,mb,,154,0.607,0.77,us,us2000ggai,2018-10-09T16:43:32.040Z,6km W of San Agustin  El Salvador,earthquake,7.2,7.8,0.09,34,reviewed,us,us
2018-07-09T07:11:48.750Z,13.4702,-88.3914,196.12,4.7,mb,,150,0.844,0.86,us,us2000g060,2018-10-02T16:40:30.040Z,5km S of Jucuapa  El Salvador,earthquake,7.4,6.2,0.037,219,reviewed,us,us
2018-07-08T23:25:52.540Z,15.7708,-86.6725,10,3.4,ml,,278,1.8,0.46,us,us2000g02i,2018-09-27T14:03:45.040Z,5km SSE of Sambo Creek  Honduras,earthquake,3.1,2,0.097,14,reviewed,us,us
2018-07-03T10:32:24.030Z,13.172,-89.3409,81.76,4,mb,,167,0.522,0.59,us,us2000fvpu,2018-09-27T14:03:38.040Z,35km S of La Libertad  El Salvador,earthquake,2.5,11.1,0.065,63,reviewed,us,us
2018-07-02T21:58:21.320Z,13.1416,-87.9936,151.43,4.3,mb,,148,1.021,0.88,us,us2000fv6s,2018-09-27T14:03:38.040Z,8km SE of Intipuca  El Salvador,earthquake,8,7.6,0.067,63,reviewed,us,us
2018-05-30T19:35:05.370Z,13.2528,-87.9803,10,4.3,mb,,148,1.054,1.31,us,us1000ef1k,2018-08-28T16:28:56.040Z,10km NE of Intipuca  El Salvador,earthquake,6.5,2,0.177,9,reviewed,us,us
